omega,result,atan
0,0,0
1,-8.68589E-08,-0.005729578
2,-3.47436E-07,-0.011459156
3,-7.8173E-07,-0.017188733
4,-1.38974E-06,-0.022918311
5,-2.17147E-06,-0.028647887
6,-3.12692E-06,-0.034377464
7,-4.25608E-06,-0.040107039
8,-5.55897E-06,-0.045836614
9,-7.03557E-06,-0.051566188
10,-8.68589E-06,-0.05729576
20,-3.47435E-05,-0.114591406
30,-7.81727E-05,-0.171886823
40,-0.000138973,-0.229181896
50,-0.000217145,-0.28647651
60,-0.000312686,-0.343770552
70,-0.000425598,-0.401063906
80,-0.000555879,-0.458356458
90,-0.000703529,-0.515648093
100,-0.000868546,-0.572938698
200,-0.003473661,-1.145762838
300,-0.007813785,-1.718358002
400,-0.013886317,-2.290610043
500,-0.021687626,-2.862405226
600,-0.031213053,-3.433630362
700,-0.042456925,-4.004172941
800,-0.055412562,-4.57392126
900,-0.070072295,-5.142764558
1000,-0.086427476,-5.710593137
2000,-0.340666786,-11.30993247
3000,-0.748529959,-16.69924423
4000,-1.289159785,-21.80140949
5000,-1.93820026,-26.56505118
6000,-2.670778167,-30.96375653
7000,-3.463725368,-34.9920202
8000,-4.296876961,-38.65980825
9000,-5.153571497,-41.9872125
10000,-6.020599913,-45
20000,-13.97940009,-63.43494882
30000,-20,-71.56505118
40000,-24.60897843,-75.96375653
50000,-28.29946696,-78.69006753
60000,-31.36403448,-80.53767779
70000,-33.97940009,-81.86989765
80000,-36.25826713,-82.87498365
90000,-38.27627705,-83.65980825
91000,-38.46591681,-83.72892255
92000,-38.65353317,-83.7965521
93000,-38.83916833,-83.86274405
94000,-39.0228632,-83.92754359
95000,-39.20465746,-83.99099404
96000,-39.3845896,-84.05313695
97000,-39.56269695,-84.11401217
98000,-39.73901576,-84.17365797
99000,-39.91358121,-84.2321111
99100,-39.93094265,-84.23789219
99200,-39.94828692,-84.24366174
99300,-39.96561408,-84.24941978
99400,-39.98292414,-84.25516636
99450,-39.99157277,-84.25803536
99470,-39.99503103,-84.25918216
99475,-39.99589549,-84.25946879
99480,-39.99675991,-84.25975539
99490,-39.99848861,-84.2603285
99495,-39.9993529,-84.26061502
99500,-40.00021714,-84.2609015
99600,-40.01749313,-84.26662524
99700,-40.03475212,-84.27233761
99800,-40.05199415,-84.27803865
99900,-40.06921926,-84.28372839
100000,-40.08642748,-84.28940686
110000,-41.72719661,-84.80557109
120000,-43.22736004,-85.23635831
130000,-44.60897843,-85.60129465
140000,-45.88932452,-85.91438322
150000,-47.08216878,-86.18592517
160000,-48.19866247,-86.42366563
170000,-49.24795996,-86.63353934
180000,-50.23766722,-86.82016988
190000,-51.17417141,-86.9872125
200000,-52.06288745,-87.13759477
210000,-52.90844539,-87.27368901
220000,-53.71483477,-87.3974378
230000,-54.48551739,-87.51044708
240000,-55.22351626,-87.61405597
250000,-55.93148666,-87.70938996
260000,-56.61177337,-87.79740184
270000,-57.2664572,-87.8789036
280000,-57.89739313,-87.95459151
290000,-58.50624183,-88.02506599
300000,-59.09449582,-88.09084757
400000,-64.08782664,-88.56790382
500000,-67.96227383,-88.85423716
600000,-71.12846243,-89.04515875
700000,-73.80569405,-89.18154454
800000,-76.12495654,-89.28384005
900000,-78.17077264,-89.36340642
1000000,-80.00086855,-89.4270613
